"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"673","DayGroupLate778",0.104146912388897,0.0455457776573176,178,2.28664253298054,0.0233942777939954,"3.4.22.40","Late",0.311111157196844,0.203661935879474,0.226423424415503
"674","DayGroupLate818",-0.0670780402198741,0.0290418057644852,178,-2.30970624773969,0.0220522874692829,"3.5.1.9","Late",0.311111157196844,0.270278751501224,0.272711164458968
"675","DayGroupLate833",0.00957751864251751,0.00415656933623497,116,2.3041883504806,0.022991836995372,"3.5.3.19","Late",0.311111157196844,0.0251241158865256,0.0259933261066621
"676","DayGroupEarly652",0.105337918228974,0.0730590744137679,157,1.44181840618998,0.151345365193038,"3.1.3.7","Early",0.311745581295061,0.64607785714851,0.671772413745214
"677","DayGroupEarly78",0.0433934049171599,0.0301590520226824,157,1.43881859696797,0.152192526937368,"1.10.3.10","Early",0.312955622797829,0.16583645283171,0.189186211495983
"678","DayGroupEarly336",0.0594655598314761,0.0413657405696951,137,1.43755578922334,0.152840278174908,"2.3.1.86","Early",0.313218597280212,0.293442678342454,0.30332031800095
"679","DayGroupEarly1140",0.0594655598314761,0.0413657405696951,137,1.43755578922334,0.152840278174908,"6.2.1.16","Early",0.313218597280212,0.293442678342454,0.30332031800095
"680","DayGroupLate741",0.106131292492075,0.0465945908625496,178,2.27775994010021,0.023929883444909,"3.4.11.2","Late",0.313429451642558,0.314250888284333,0.336679654641997
"681","DayGroupEarly140",-0.073121566574987,0.0511546521026892,178,-1.42942163751208,0.154635782584769,"1.21.4.3","Early",0.316360132452711,0.406014446876975,0.40472073413426
"682","DayGroupEarly368",0.244287429756843,0.171191043576424,178,1.42698721062347,0.155335369031734,"2.4.1.25","Early",0.317252745225829,3.85650078581099,3.8776689021258
"683","DayGroupEarly1137",0.152453626838874,0.107138878247775,178,1.42295336046269,0.156499915505855,"6.1.1.9","Early",0.319090352258131,3.51954046039351,3.57341450585697
"684","DayGroupLate618",-0.0962709876400875,0.0424915951513497,176,-2.2656477662743,0.0246912805239629,"3.1.12.1","Late",0.319924656251347,0.455954120730515,0.483648643152335
"685","DayGroupEarly356",0.0943227980295594,0.0664127492136887,157,1.42025136959874,0.157517304386922,"2.4.1.182","Early",0.320622215855137,0.566787991864099,0.579906367722529
"686","DayGroupLate570",-0.0874813775905856,0.0387936836990291,152,-2.25504178126747,0.0255588422652129,"2.7.8.11","Late",0.320816718016474,0.271519017605476,0.260585377149691
"687","DayGroupLate592",-0.0632312659636699,0.028022194025069,172,-2.25647092112425,0.0253001650953076,"2.8.3.10","Late",0.320816718016474,0.213644090199627,0.209778933772527
"688","DayGroupLate995",-0.337639688105102,0.149479429621816,178,-2.25877024657728,0.0251110203045698,"4.2.1.9","Late",0.320816718016474,4.89932168981971,4.96997426409372
"689","DayGroupEarly904",-0.0286741664590674,0.0202397355337316,176,-1.41672634068162,0.158330543445161,"3.8.1.8","Early",0.32173407226209,0.123600180433346,0.130070560131244
"690","DayGroupEarly311",0.173718387649417,0.122885450235912,178,1.41366115610853,0.159207908798962,"2.3.1.180","Early",0.322972272900251,2.73586912690544,2.72913076478193
"691","DayGroupEarly829",0.0828127076718115,0.0586925021178304,166,1.41095889055058,0.160128081759668,"3.5.3.1","Early",0.324293005916639,0.391863200979207,0.425968656576911
"692","DayGroupEarly340",0.111048864266038,0.0790859973510612,176,1.40415330128663,0.162035379016349,"2.3.1.n3","Early",0.327605086769632,1.78412032239073,1.74626959190429
"693","DayGroupEarly648",-0.0703566226621209,0.050322861332224,157,-1.39810457512813,0.164053663638424,"3.1.3.45","Early",0.330576362348329,0.454136175263598,0.464805715646052
"694","DayGroupEarly878",0.408230201039873,0.292021790244393,178,1.39794431332753,0.163869379590617,"3.6.3.17","Early",0.330576362348329,4.94723270859038,5.1026645999989
"695","DayGroupLate200",0.101406082238323,0.0455875725591539,178,2.22442381872251,0.0273769900305464,"1.6.99.3","Late",0.331554647511194,0.277748173341849,0.312178625750135
"696","DayGroupLate340",-0.179170547729701,0.0805172061152923,176,-2.22524546459234,0.0273351347043385,"2.3.1.n3","Late",0.331554647511194,1.78412032239073,1.74626959190429
"697","DayGroupLate766",-0.0828847242306341,0.0372643640540665,162,-2.22423557558577,0.027514908507153,"3.4.19.3","Late",0.331554647511194,0.349682298293157,0.338184927016342
"698","DayGroupLate881",-0.163057320505063,0.0733341628942837,178,-2.22348376349671,0.0274414334859691,"3.6.3.20","Late",0.331554647511194,1.48557498884284,1.459852992399
