"","X","Value","Std.Error","DF","t.value","p.value","GeneFamily","Group","FDR","BaselineGroup","BaselineLinear"
"6051","DayGroupLate1377",0.021841933323191,0.0542369647898044,179,0.402713046495864,0.687639876106892,"K03183","Late",0.83198087769755,0.689575953177583,0.691484841525544
"6052","DayGroupEarly3873",-0.0098087069149638,0.0243734028458231,173,-0.402434858070905,0.687860830315024,"K21929","Early",0.968581691678757,0.235319736008821,0.211298344886989
"6053","DayGroupLate110",-0.0201743495215447,0.05014000142302,179,-0.402360369943714,0.687898902430996,"K00243","Late",0.83198087769755,0.456401410016771,0.446896265968747
"6054","DayGroupLate297",0.0242217891737035,0.0602133080910922,179,0.40226637501896,0.687967944045334,"K00821","Late",0.83198087769755,0.920927328596233,0.939413130250961
"6055","DayGroupEarly3771",-0.00184637364929038,0.0045887634723602,109,-0.402368450762775,0.68820086670991,"K20038","Early",0.968581691678757,0.00675817437962444,0.0062872218563171
"6056","DayGroupLate3006",-0.00141470561755298,0.00351881232832832,112,-0.402040656207733,0.688420310534798,"K10202","Late",0.83227248343268,0.00968229698873491,0.0099605213419944
"6057","DayGroupEarly1905",0.0310989459366873,0.0775670533169635,179,0.400929835630176,0.688949949080726,"K04720","Early",0.968581691678757,0.492547072682437,0.466064794972471
"6058","DayGroupEarly654",0.0282983131234822,0.0706355701152827,179,0.400624120075724,0.689174643999703,"K01662","Early",0.968581691678757,0.822827405157032,0.831846863780042
"6059","DayGroupLate663",0.0158969325638587,0.0396978603999309,175,0.400448094776574,0.689314937544204,"K01676","Late",0.83309842144913,0.139042087352506,0.146838092660126
"6060","DayGroupEarly3814",-0.00683615156286391,0.0170783666241527,139,-0.400281345008489,0.689563820608807,"K21030","Early",0.968581691678757,0.0665473647034376,0.0634978942219508
"6061","DayGroupLate1675",0.0249907800391507,0.0625413936345653,179,0.399587834341748,0.689936499243295,"K03701","Late",0.833527192903275,1.02745925805701,1.02417141689794
"6062","DayGroupLate855",-0.0140056067391097,0.0350687889756756,179,-0.399375260686197,0.690092818083879,"K02008","Late",0.833527192903275,0.190657494180502,0.174350564475967
"6063","DayGroupEarly1472",0.0187387131630908,0.0469439672581442,179,0.399171911910362,0.690242365765984,"K03430","Early",0.968581691678757,0.378281914332986,0.392176095042934
"6064","DayGroupEarly2340",0.0340234502836468,0.0852632868749458,179,0.399039862649775,0.690339484565985,"K07058","Early",0.968581691678757,0.71860265789623,0.701668584957124
"6065","DayGroupEarly2503",0.0247603611122633,0.0620727084348374,179,0.398892874768888,0.690447596380016,"K07461","Early",0.968581691678757,0.520643440017213,0.543169183389563
