"","GeneFamily","RPK","Sample_ID","RPKG"
"114","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",88.4143434101,"GO_Pt20_C1D7",0.0543001681691258
"115","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",32.9566854991,"GO_Pt20_C2D1",0.0166915994337671
"116","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",16.8152284679,"GO_Pt20_C3D1",0.00714251587281847
"117","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",11.7814149529,"GO_Pt21_Baseline",0.00587971081802714
"118","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",6.4102564103,"GO_Pt21_Baseline",0.00319914493400398
"119","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",3.6588297755,"GO_Pt21_Baseline",0.00182599977153269
"120","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",17.3333860384,"GO_Pt21_C1D1",0.00810482557357376
"121","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",1.8315018315,"GO_Pt21_C1D1",0.000856382177671651
"122","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",0.9157509158,"GO_Pt21_C1D1",0.000428191088859204
"123","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",22.8937728938,"GO_Pt21_C1D3",0.0133937083946313
"124","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",4.5787545788,"GO_Pt21_C1D3",0.00267874167894965
"125","UniRef90_P76440|g__Escherichia.s__Escherichia_fergusonii",4.4479330194,"GO_Pt21_C1D3",0.00260220620240489
"126","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",164.726034434,"GO_Pt21_C1D7",0.0833845589479686
"127","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",234.9978391279,"GO_Pt22_Baseline",0.0942341001082876
"128","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",150.1363231324,"GO_Pt22_C1D1",0.0423741170893553
"129","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",7.483690957,"GO_Pt22_C1D1",0.0021121790533848
"130","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",59.4900849858,"GO_Pt22_C1D3",0.0253221855901216
"131","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",40.1002506266,"GO_Pt22_C1D3",0.0170688273318072
"132","UniRef90_P76440|g__Escherichia.s__Escherichia_coli",11.0192837466,"GO_Pt22_C1D3",0.00469040089904426
"133","UniRef90_P76440|g__Klebsiella.s__Klebsiella_oxytoca",7.338631739,"GO_Pt22_C1D3",0.00312371708523986
"134","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",1097.2725653429,"GO_Pt22_C1D7",0.383447310841077
"135","UniRef90_A0A0A6ZVN4|g__Escherichia.s__Escherichia_coli",25.0626566416,"GO_Pt22_C1D7",0.00875826899832456
"136","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",160.5243633162,"GO_Pt23_Baseline",0.0924395819106854
"137","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",376.5151049454,"GO_Pt23_C1D1",0.116542715022618
"138","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",922.4844690226,"GO_Pt23_C1D3",0.228961828808453
"139","UniRef90_D4MUM4|g__Anaerostipes.s__Anaerostipes_hadrus",275.0474821051,"GO_Pt23_C1D7",0.215124281167303
