"","Value","Std.Error","DF","t-value","p-value","Taxa","Group","FDR"
"DaysLinear211",0.00246070545849061,0.00467766480880835,137,0.526054251227438,0.599701049850683,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Fusicatenibacter; NA","DaysLinear",0.841139134855503
"DaysLinear6",0.0044137691163001,0.00869292437851835,90,0.507742725475358,0.6128758721951,"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae;  g__Bifidobacterium;  s__Bifidobacterium_animalis","DaysLinear",0.85641341735331
"DaysLinear246",0.00378626129502481,0.00739514761088195,19,0.511992659815651,0.614555924489643,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Lachnospiraceae_UCG-009; NA","DaysLinear",0.85641341735331
"DaysLinear18",-0.00186599646409942,0.00373761323355113,17,-0.499248142464042,0.624003667625446,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Coriobacteriales_Incertae_Sedis;  g__Raoultibacter;  s__Raoultibacter_timonensis","DaysLinear",0.864005078250618
"DaysLinear230",-0.00251543720514639,0.00507314765715116,45,-0.495833627393165,0.622424850137978,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Lachnospiraceae_FCS020_group;  s__uncultured_Clostridium","DaysLinear",0.864005078250618
"DaysLinear24",0.00201467561346684,0.00420215250748486,123,0.479438956553411,0.632477739670193,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Eggerthellaceae;  g__Eggerthella;  s__uncultured_bacterium","DaysLinear",0.864653112460517
"DaysLinear107",0.00732409914359665,0.0149055302364715,12,0.491367903550036,0.632030395261055,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Izemoplasmatales;  f__Izemoplasmatales;  g__Izemoplasmatales;  s__uncultured_organism","DaysLinear",0.864653112460517
"DaysLinear322",0.00335808199702444,0.00691855877360257,26,0.485373053393293,0.631476731003596,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Oscillospirales;  g__Hydrogenoanaerobacterium; NA","DaysLinear",0.864653112460517
"DaysLinear366",-0.00565022481506753,0.0115537009788505,21,-0.489040249995261,0.629881894526298,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__UCG-010;  g__UCG-010;  s__metagenome","DaysLinear",0.864653112460517
"DaysLinear429",-0.00390608899875314,0.00820708372399479,101,-0.475941166206582,0.635144170742504,"d__Bacteria;  p__Verrucomicrobiota;  c__Verrucomicrobiae;  o__Verrucomicrobiales;  f__Akkermansiaceae;  g__Akkermansia;  s__uncultured_bacterium","DaysLinear",0.865559248456662
"DaysLinear385",-0.00818163889397096,0.0172153268410395,25,-0.47525318395157,0.638732587868212,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Peptostreptococcales-Tissierellales;  f__Peptostreptococcaceae;  g__Peptostreptococcus;  s__uncultured_bacterium","DaysLinear",0.867712194839835
"DaysLinear95",0.010978445533375,0.0231196220838353,16,0.474854021989007,0.641307892081417,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Erysipelotrichales;  f__Erysipelotrichaceae;  g__Faecalitalea;  s__Absiella_argi","DaysLinear",0.868479653226245
"DaysLinear37",-0.00538521719292445,0.0115369403080622,14,-0.466780363694972,0.647838087371335,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Bacteroidaceae;  g__Bacteroides;  s__Bacteroides_intestinalis","DaysLinear",0.871856865247404
"DaysLinear354",-0.00328773461564035,0.00706069705562143,19,-0.465638815791254,0.646767286662657,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Ruminococcaceae;  g__UBA1819;  s__uncultured_bacterium","DaysLinear",0.871856865247404
"DaysLinear7",0.00262015804082646,0.00608995811856556,139,0.430242374383294,0.667685659408108,"d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae;  g__Bifidobacterium; NA","DaysLinear",0.87522189106952
"DaysLinear22",0.00543021478668455,0.0122397699018291,12,0.44365333909366,0.665186846618847,"d__Bacteria;  p__Actinobacteriota;  c__Coriobacteriia;  o__Coriobacteriales;  f__Eggerthellaceae;  g__CHKCI002;  s__Coriobacteriaceae_bacterium","DaysLinear",0.87522189106952
"DaysLinear55",0.00608403994798477,0.0134086234201317,25,0.453740832101391,0.653929784004821,"d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Prevotellaceae;  g__Paraprevotella; NA","DaysLinear",0.87522189106952
"DaysLinear110",0.0170812856539978,0.0385878408215154,10,0.442659793612338,0.667433098356901,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Lactobacillaceae;  g__Lactobacillus;  s__Lactobacillus_brevis","DaysLinear",0.87522189106952
"DaysLinear157",-0.00271612245363603,0.00612856474458961,51,-0.443190627305335,0.659502219952235,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Eubacteriales;  f__Anaerofustaceae;  g__Anaerofustis;  s__Anaerofustis_stercorihominis","DaysLinear",0.87522189106952
"DaysLinear241",-0.00324542678878707,0.00751628650103928,86,-0.4317859342294,0.666977604198807,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Lachnospiraceae_UCG-001; NA","DaysLinear",0.87522189106952
"DaysLinear254",0.00322633290608093,0.0072239453313237,93,0.446616462072498,0.656190275300337,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Lachnospirales;  f__Lachnospiraceae;  g__Roseburia;  s__gut_metagenome","DaysLinear",0.87522189106952
"DaysLinear424",-0.00586213914832539,0.0133200547339107,16,-0.440098728228297,0.665752856589096,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pseudomonadales;  f__Pseudomonadaceae;  g__Pseudomonas; NA","DaysLinear",0.87522189106952
"DaysLinear427",-0.0024941968573827,0.0057739970661133,33,-0.431970579275274,0.668572277900328,"d__Bacteria;  p__Verrucomicrobiota;  c__Lentisphaeria;  o__Victivallales;  f__Victivallaceae;  g__Victivallis;  s__uncultured_bacterium","DaysLinear",0.87522189106952
"DaysLinear422",-0.00770283123678136,0.0181100408920041,14,-0.42533483401367,0.677057978555871,"d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Pasteurellales;  f__Pasteurellaceae;  g__Aggregatibacter; NA","DaysLinear",0.883652709172617
"DaysLinear117",-0.0150596343413403,0.0361740681612712,21,-0.416310221847359,0.681407095953953,"d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Lactobacillaceae;  g__Pediococcus; NA","DaysLinear",0.886262663462167
"DaysLinear318",-0.00318996957878282,0.00772475942432702,25,-0.412953906206695,0.683160803085421,"d__Bacteria;  p__Firmicutes;  c__Clostridia;  o__Oscillospirales;  f__Oscillospiraceae;  g__uncultured;  s__uncultured_rumen","DaysLinear",0.886262663462167
